Subject,Lambda,LR,EncDim,DecDim,Dropout,MSE
S007,0.5,0.001,128,32,0.2,0.00956842303276062
S007,0.5,0.001,128,32,0.3,0.006140142135942976
S007,0.5,0.001,128,64,0.2,0.0038661074747021
S007,0.5,0.001,128,64,0.3,0.006047325829664866
S007,0.5,0.001,128,128,0.2,0.01019794230038921
S007,0.5,0.001,256,32,0.2,0.007573854333410661
S007,0.5,0.001,128,128,0.3,0.00846237021808823
S007,0.5,0.001,256,64,0.3,0.0068796188570559025
S007,0.5,0.001,256,64,0.2,0.007114373923589786
S007,0.5,0.001,256,128,0.3,0.007944754480073849
S007,0.5,0.001,256,32,0.3,0.007773202223082383
S007,0.5,0.001,256,128,0.2,0.009210639478017887
S007,0.5,0.0001,64,32,0.3,0.005632945258791248
S007,0.5,0.0001,64,32,0.2,0.005826191821446021
S007,0.5,0.0001,64,64,0.3,0.006597410577038924
S007,0.5,0.0001,64,64,0.2,0.00409031721452872
S007,0.5,0.0001,64,128,0.3,0.003717184765264392
S007,0.5,0.0001,64,128,0.2,0.005586625697712104
S007,0.5,0.0001,128,32,0.2,0.0057834219963600235
S007,0.5,0.0001,128,64,0.2,0.0041765638161450624
S007,0.5,0.0001,128,32,0.3,0.0063398197914163274
